,title,first_artist,all_artists,id,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,loudness_norm,tempo_norm,key_norm,time_signature_norm,labels
341,不該,Jay Chou,"['Jay Chou', 'A-Mei Chang']",7LyCtbxher5m97MImn5M3l,0.441,0.619,4,-6.609,1,0.19,0.0,0.11800000000000001,0.187,75.027,290133,4,0.6970489896787324,0.054968861941499136,0.36363636363636365,1.0,0
342,一諾千年,A-do,['A-do'],0tjXPgFz9p7U1e0ncz1ouE,0.469,0.61,8,-4.59,0,0.10300000000000001,0.0,0.12,0.21600000000000003,142.067,210423,4,0.7948829771769153,0.5343019140432288,0.7272727272727273,1.0,3
343,"陪著你走 - 劇集 ""不懂撒嬌的女人"" 插曲",Kayee Tam,['Kayee Tam'],3HMesevL5DK01uEpHrn9IO,0.716,0.152,2,-16.506,1,0.867,0.0,0.0754,0.21600000000000003,101.015,211601,4,0.21747346998110195,0.240781919191197,0.18181818181818182,1.0,2
344,Shalala Romance,Dawon,['Dawon'],557Rp0MOMAOWf7XETe2UM1,0.7340000000000001,0.5489999999999999,0,-13.409,1,0.0823,8.12e-06,0.17800000000000002,0.802,82.031,209518,4,0.3675437321316083,0.10504715396000325,0.0,1.0,0
345,勇敢去愛吧,Tiger Hu,['Tiger Hu'],798A1AbXluls2TtL3rKkSU,0.647,0.7929999999999999,5,-4.919,1,0.106,1.14e-06,0.37,0.585,99.93700000000001,238653,4,0.778940737510297,0.23307426659326064,0.4545454545454546,1.0,4
346,Meow Meow,CLC,['CLC'],5N3rXELAY2c1UBgWlARBYY,0.7809999999999999,0.691,4,-4.797,0,0.12300000000000001,0.0,0.053,0.33399999999999996,104.932,198658,4,0.7848524494839366,0.26878829695197387,0.36363636363636365,1.0,1
347,speed of youth,Kensuke Ushio,['Kensuke Ushio'],2Z2wDQKG1J3LlbMh1fTzxa,0.541,0.537,2,-10.354000000000001,1,0.919,0.9079999999999999,0.113,0.35700000000000004,160.035,283067,4,0.515578814750206,0.6627723239502079,0.18181818181818182,1.0,2
348,敢 Roleplay,Lu Han,['Lu Han'],3m1nz39Ke2fLUEb1AOdEUR,0.7879999999999999,0.8240000000000001,9,-6.432,1,0.0613,5.28e-06,0.0283,0.653,143.954,159314,4,0.7056258177060619,0.5477938810676317,0.8181818181818182,1.0,4
349,Daddy's Hovercar,Disco Hue,['Disco Hue'],6UdYsjbEZgkicBd04mMHsW,0.35600000000000004,0.662,7,-6.638999999999999,1,0.289,5.610000000000001e-05,0.121,0.312,129.892,243681,4,0.6955952900130833,0.44725119940512376,0.6363636363636364,1.0,4
350,預言書,Kenny Kwan,['Kenny Kwan'],5InRpvvCxbQ7D4Cdh69Qy2,0.54,0.52,2,-5.782,1,0.513,0.0,0.203,0.516,140.033,246703,4,0.7371226437951253,0.5197589034827437,0.18181818181818182,1.0,0
351,Marry Me,Jam Hsiao,['Jam Hsiao'],4GwEeSaXgqEozZv1cZ778l,0.626,0.561,1,-6.013,1,0.759,0.0,0.0896,0.366,129.83700000000002,279792,4,0.7259291563696274,0.4468579518235965,0.09090909090909091,1.0,2
352,離開我的自由 (Leave My Freedom),A-do,['A-do'],62WklW6nvbSrjArK9sYT5g,0.375,0.33299999999999996,6,-9.529,1,0.857,0.0,0.0718,0.21899999999999997,131.97299999999998,296700,4,0.5555555555555556,0.4621302578989139,0.5454545454545454,1.0,2
353,音樂讓我說愛你,Tiger Hu,['Tiger Hu'],1hnSnXsyx62gmeN92M8QPB,0.638,0.684,3,-5.925,1,0.0659,0.0,0.18,0.64,110.005,197867,3,0.7301933420555313,0.3050600238808531,0.2727272727272727,0.6666666666666667,0
354,怎樣 ?,Penny Tai,['Penny Tai'],4CD6fcm9HZYu2sA3ln6DuX,0.6409999999999999,0.363,2,-10.434000000000001,1,0.809,0.0,0.0949,0.218,119.73899999999999,271107,4,0.511702282308475,0.37465769585517045,0.18181818181818182,1.0,2
355,All Alone with You,EGOIST,['EGOIST'],1aj26XjpxbDlxAXtrpGrRv,0.26,0.67,11,-4.6819999999999995,1,0.0802,0.0046700000000000005,0.192,0.34299999999999997,143.71,350320,4,0.7904249648689248,0.5460492917968556,1.0,1.0,4
356,花好月圓夜,Miriam Yeung,"['Miriam Yeung', 'Richie Jen']",6uGTVG9G40bUwUjObV0M7Q,0.614,0.414,11,-8.852,1,0.706,0.0,0.122,0.37799999999999995,94.55799999999999,143600,4,0.588360711343703,0.1946146531198833,1.0,1.0,2
357,Cover up,TAEYEON,['TAEYEON'],25JsYHDRiRvxIddliGESTT,0.735,0.8809999999999999,11,-3.463,1,0.0496,3.17e-06,0.0859,0.9,118.02,205982,4,0.8494936279497989,0.36236692144343313,1.0,1.0,4
358,Can't Help Myself (feat. LOCO),Eric Nam,"['Eric Nam', 'Loco']",2orlgIY1OBWBDQgmkHZHct,0.698,0.8740000000000001,9,-2.296,0,0.0259,1.02e-06,0.475,0.795,122.945,189158,4,0.906042544943548,0.3975804548802025,0.8181818181818182,1.0,3
359,屋頂,Landy Wen,"['Landy Wen', 'Jay Chou']",66JiXkry8h9HHpTZEXlnia,0.26,0.385,3,-7.917999999999999,1,0.46299999999999997,0.0,0.136,0.139,175.593,319040,4,0.633619227600911,0.7740113398302602,0.2727272727272727,1.0,2
360,安守本份 2017 - 劇集 “使徒行者2” 插曲,Vivian Koo,['Vivian Koo'],3qxQBZNWQAZ11rj2G57Vb3,0.68,0.524,3,-8.808,0,0.6890000000000001,0.0,0.11599999999999999,0.19,123.954,245357,4,0.5904928041866551,0.4047947605122229,0.2727272727272727,1.0,1
361,記得,JJ Lin,['JJ Lin'],2ZCn7ldYJ7doogRaGgXfNI,0.485,0.268,7,-8.133,1,0.897,0.0,0.1,0.38799999999999996,120.647,287805,4,0.6232010466637593,0.3811498559283862,0.6363636363636364,1.0,2
362,空窗,辛曉琪,['辛曉琪'],3aoFNk1KGCLGKdoDo5J0hG,0.444,0.7020000000000001,9,-6.165,1,0.44,0.0,0.496,0.179,171.935,287200,4,0.7185637447303388,0.7478568006806761,0.8181818181818182,1.0,4
363,掉了,A-Mei Chang,['A-Mei Chang'],4WJrPDdryMRaKnkJWWex37,0.542,0.45,1,-6.792000000000001,1,0.8009999999999999,0.0,0.0874,0.146,162.071,235600,4,0.6881814217182729,0.6773296344227484,0.09090909090909091,1.0,2
364,Wifey (feat.MC MONG),NS Yoon-G,['NS Yoon-G'],1ixfHmmfbLflIE7XTZpLUU,0.7709999999999999,0.7020000000000001,6,-3.99,0,0.0829,0.0,0.179,0.7979999999999999,89.016,210604,4,0.8239569704898968,0.15498959681397967,0.5454545454545454,1.0,3
365,I Need U,BTS,['BTS'],3RlcLpMmRvSd84Uw6Yt4Iw,0.486,0.88,5,-3.097,0,0.0215,0.0,0.24,0.71,158.043,210987,4,0.8672287638707177,0.6485296115428891,0.4545454545454546,1.0,3
366,陪在你身邊,化學猴子,['化學猴子'],35vBGpv0ciVOgFTp1UlGYu,0.46,0.638,6,-6.707999999999999,1,0.11900000000000001,0.0,0.0915,0.449,146.026,267880,4,0.6922517807820905,0.562608589957172,0.5454545454545454,1.0,4
367,下雨天,Nan Quan Mama,['Nan Quan Mama'],63Qpnrn403cKcE8Y1N0nx0,0.516,0.545,4,-6.761,1,0.593,0.0,0.361,0.27399999999999997,127.96799999999999,253080,4,0.6896835780394437,0.43349468400769336,0.36363636363636365,1.0,2
368,Red,HyunA,['HyunA'],5Fl3tBJteMGw8wqWuBe7kD,0.5820000000000001,0.938,9,-1.829,1,0.0028699999999999997,0.0,0.395,0.56,163.91,199800,4,0.9286718030721519,0.6904784035578182,0.8181818181818182,1.0,4
369,This Is the Moment,Selectracks,['Selectracks'],7iGf7mj3yfIdPSJR2GYpSa,0.532,0.88,7,-4.9719999999999995,1,0.00123,0.0016899999999999999,0.214,0.708,98.01299999999999,219107,4,0.7763725347676503,0.21931775119583014,0.6363636363636364,1.0,4
370,"畢業之後 - 劇集 “老表,畢業喇!” 主題曲",Mag Lam,['Mag Lam'],58SWZ4MWJh6By9ERLp3O24,0.491,0.32,1,-10.026,1,0.7090000000000001,0.0,0.125,0.7290000000000001,201.87099999999998,169445,4,0.5314725977613025,0.9618978843280115,0.09090909090909091,1.0,2
371,Noi Nay Co Anh,Sơn Tùng M-TP,['Sơn Tùng M-TP'],6efaWmqWQxnWFGcFN2BqDW,0.523,0.85,0,-5.245,1,0.0449,0.0008269999999999999,0.13,0.37,91.98299999999999,260128,4,0.7631438678102438,0.17620351634837444,0.0,1.0,0
372,Run,BTS,['BTS'],0PAq1DRlOGBAjXLno94j6b,0.5539999999999999,0.878,11,-3.02,0,0.00146,0.0,0.0998,0.55,132.889,236748,4,0.8709599263458836,0.46867961762035176,1.0,1.0,3
373,Betrayal,Aska Yang,['Aska Yang'],4YJQz7EQ4xs1uHyd5tNVoj,0.469,0.525,11,-7.292000000000001,1,0.598,0.0,0.15,0.237,134.024,325293,4,0.663953093957455,0.4767948177118711,1.0,1.0,2
374,淚光閃爍,F.I.R.,['F.I.R.'],0NhWo7GPlaaUijFlBL2lsG,0.40299999999999997,0.589,8,-3.6510000000000002,1,0.34600000000000003,0.0,0.165,0.267,132.524,270893,4,0.8403837767117314,0.46606988367021546,0.7272727272727273,1.0,4
375,Handwritten,Amy & Ellen,['Amy & Ellen'],1LhxE1MsteYbFmZA8lgFaN,0.6779999999999999,0.556,9,-6.9510000000000005,1,0.579,2.24e-05,0.0722,0.526,123.964,240743,4,0.680476813490333,0.40486626007250065,0.8181818181818182,1.0,2
376,愛我別走,Zhang Zhen Yue,['Zhang Zhen Yue'],2fc2vUA5H3mTAr9rQoBDKt,0.6459999999999999,0.35600000000000004,0,-10.804,1,0.552,1.63e-06,0.0964,0.684,90.079,284467,4,0.4937733197654698,0.16259000007149954,0.0,1.0,0
